Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch: 174 | Train loss: 5.04475 | Test loss: 4.50637
Epoch: 175 | Train loss: 4.91436 | Test loss: 4.45684
Epoch: 176 | Train loss: 4.98759 | Test loss: 5.12142
Epoch: 177 | Train loss: 5.02216 | Test loss: 4.28486
Epoch: 178 | Train loss: 4.96038 | Test loss: 6.43381
Epoch: 179 | Train loss: 4.81379 | Test loss: 4.27480
Epoch: 180 | Train loss: 4.97041 | Test loss: 5.17151
Epoch: 181 | Train loss: 4.92617 | Test loss: 4.42109
Epoch: 182 | Train loss: 4.96909 | Test loss: 5.31394
Epoch: 183 | Train loss: 4.84619 | Test loss: 6.41631
Epoch: 184 | Train loss: 4.89290 | Test loss: 4.78539
Epoch: 185 | Train loss: 4.86919 | Test loss: 4.73760
Epoch: 186 | Train loss: 4.79479 | Test loss: 4.45948
Epoch: 187 | Train loss: 4.92620 | Test loss: 4.46472
Epoch: 188 | Train loss: 4.88232 | Test loss: 4.22240
Epoch: 189 | Train loss: 4.79846 | Test loss: 6.90249
Epoch: 190 | Train loss: 4.86376 | Test loss: 4.28246
Epoch: 191 | Train loss: 4.85739 | Test loss: 4.61735
Epoch: 192 | Train loss: 4.94111 | Test loss: 4.41650
Epoch: 193 | Train loss: 4.71516 | Test loss: 4.28485
Epoch: 194 | Train loss: 4.78010 | Test loss: 4.83416
Epoch: 195 | Train loss: 4.82605 | Test loss: 4.88075
Epoch: 196 | Train loss: 4.78298 | Test loss: 5.06261
Epoch: 197 | Train loss: 4.80977 | Test loss: 4.99301
Epoch: 198 | Train loss: 4.76473 | Test loss: 4.43864
Epoch: 199 | Train loss: 4.78601 | Test loss: 4.33348
Epoch: 200 | Train loss: 4.72638 | Test loss: 4.37916
Epoch: 201 | Train loss: 4.67955 | Test loss: 4.16615
Epoch: 202 | Train loss: 4.71013 | Test loss: 4.18363
Epoch: 203 | Train loss: 4.71799 | Test loss: 4.35554
Epoch: 204 | Train loss: 4.75255 | Test loss: 4.20756
Epoch: 205 | Train loss: 4.70846 | Test loss: 4.57850
Epoch: 206 | Train loss: 4.75222 | Test loss: 4.42999
Epoch: 207 | Train loss: 4.79321 | Test loss: 4.61018
Epoch: 208 | Train loss: 4.64048 | Test loss: 4.14479
Epoch: 209 | Train loss: 4.60778 | Test loss: 5.33478
Epoch: 210 | Train loss: 4.60761 | Test loss: 4.19475
Epoch: 211 | Train loss: 4.73499 | Test loss: 4.74682
Epoch: 212 | Train loss: 4.67835 | Test loss: 4.43670
Epoch: 213 | Train loss: 4.67527 | Test loss: 4.23173
Epoch: 214 | Train loss: 4.60760 | Test loss: 4.11850
Epoch: 215 | Train loss: 4.67213 | Test loss: 4.19574
Epoch: 216 | Train loss: 4.60526 | Test loss: 4.26380
Epoch: 217 | Train loss: 4.64382 | Test loss: 4.50794
Epoch: 218 | Train loss: 4.59121 | Test loss: 4.55952
Epoch: 219 | Train loss: 4.68489 | Test loss: 4.54198
Epoch: 220 | Train loss: 4.59489 | Test loss: 6.47025
Epoch: 221 | Train loss: 4.65282 | Test loss: 4.14415
Epoch: 222 | Train loss: 4.62826 | Test loss: 5.15179
Epoch: 223 | Train loss: 4.51805 | Test loss: 4.20342
Epoch: 224 | Train loss: 4.54090 | Test loss: 4.21193
Epoch: 225 | Train loss: 4.57842 | Test loss: 4.17854
Epoch: 226 | Train loss: 4.61655 | Test loss: 4.35598
Epoch: 227 | Train loss: 4.54547 | Test loss: 4.29212
Epoch: 228 | Train loss: 4.57178 | Test loss: 4.59928
Epoch: 229 | Train loss: 4.61464 | Test loss: 4.65153
Epoch: 230 | Train loss: 4.53565 | Test loss: 4.34927
Epoch: 231 | Train loss: 4.51624 | Test loss: 4.03905
Epoch: 232 | Train loss: 4.47309 | Test loss: 5.88904
Epoch: 233 | Train loss: 4.54623 | Test loss: 4.28413
Epoch: 234 | Train loss: 4.48927 | Test loss: 4.39897
Epoch: 235 | Train loss: 4.47189 | Test loss: 4.16338
Epoch: 236 | Train loss: 4.49326 | Test loss: 4.36787
Epoch: 237 | Train loss: 4.44531 | Test loss: 4.08612
Epoch: 238 | Train loss: 4.48083 | Test loss: 5.01430
Epoch: 239 | Train loss: 4.48276 | Test loss: 4.52909
Epoch: 240 | Train loss: 4.50344 | Test loss: 4.28939
Epoch: 241 | Train loss: 4.46649 | Test loss: 4.10492
Epoch: 242 | Train loss: 4.54062 | Test loss: 4.26535
Epoch: 243 | Train loss: 4.43150 | Test loss: 4.95069
Epoch: 244 | Train loss: 4.43998 | Test loss: 5.04195
Epoch: 245 | Train loss: 4.49386 | Test loss: 4.19349
Epoch: 246 | Train loss: 4.44315 | Test loss: 4.35416
Epoch: 247 | Train loss: 4.40263 | Test loss: 4.15114
Epoch: 248 | Train loss: 4.36807 | Test loss: 4.10389
Epoch: 249 | Train loss: 4.45952 | Test loss: 4.37867
Epoch: 250 | Train loss: 4.36358 | Test loss: 4.44146
Epoch: 251 | Train loss: 4.39125 | Test loss: 4.18170
Epoch: 252 | Train loss: 4.47441 | Test loss: 4.33582
Epoch: 253 | Train loss: 4.36697 | Test loss: 4.08625
Epoch: 254 | Train loss: 4.42936 | Test loss: 4.51244
Epoch: 255 | Train loss: 4.43441 | Test loss: 4.27228
Epoch: 256 | Train loss: 4.36277 | Test loss: 4.28745
Epoch: 257 | Train loss: 4.37090 | Test loss: 4.26566
Epoch: 258 | Train loss: 4.37101 | Test loss: 4.52433
Epoch: 259 | Train loss: 4.38312 | Test loss: 4.11764
Epoch: 260 | Train loss: 4.33937 | Test loss: 4.27056
Epoch: 261 | Train loss: 4.41622 | Test loss: 4.04097
Epoch: 262 | Train loss: 4.31871 | Test loss: 4.26580
Epoch: 263 | Train loss: 4.34439 | Test loss: 3.99908
Epoch: 264 | Train loss: 4.34089 | Test loss: 5.18646
Epoch: 265 | Train loss: 4.32078 | Test loss: 4.13282
Epoch: 266 | Train loss: 4.27572 | Test loss: 4.21173
Epoch: 267 | Train loss: 4.33528 | Test loss: 4.02829
Epoch: 268 | Train loss: 4.30765 | Test loss: 4.07015
Epoch: 269 | Train loss: 4.28930 | Test loss: 4.09046
Epoch: 270 | Train loss: 4.32620 | Test loss: 4.68262
Epoch: 271 | Train loss: 4.30728 | Test loss: 6.22396
Epoch: 272 | Train loss: 4.28777 | Test loss: 4.09584
Epoch: 273 | Train loss: 4.33580 | Test loss: 4.02774
Epoch: 274 | Train loss: 4.23816 | Test loss: 4.65056
Epoch: 275 | Train loss: 4.27878 | Test loss: 4.24682
Epoch: 276 | Train loss: 4.36291 | Test loss: 4.08666
Epoch: 277 | Train loss: 4.22281 | Test loss: 4.12207
Epoch: 278 | Train loss: 4.31673 | Test loss: 3.98411
Epoch: 279 | Train loss: 4.26428 | Test loss: 4.08298
Epoch: 280 | Train loss: 4.26868 | Test loss: 4.37210
Epoch: 281 | Train loss: 4.22139 | Test loss: 4.02781
Epoch: 282 | Train loss: 4.24184 | Test loss: 4.47976
Epoch: 283 | Train loss: 4.20925 | Test loss: 4.11170
Epoch: 284 | Train loss: 4.27015 | Test loss: 4.15877
Epoch: 285 | Train loss: 4.22536 | Test loss: 4.09975
Epoch: 286 | Train loss: 4.25298 | Test loss: 4.17897
Epoch: 287 | Train loss: 4.16716 | Test loss: 4.08097
Epoch: 288 | Train loss: 4.29011 | Test loss: 4.22056
Epoch: 289 | Train loss: 4.17562 | Test loss: 4.03458
Epoch: 290 | Train loss: 4.23217 | Test loss: 4.06281
Epoch: 291 | Train loss: 4.19851 | Test loss: 4.03297
Epoch: 292 | Train loss: 4.18519 | Test loss: 4.03599
Epoch: 293 | Train loss: 4.17474 | Test loss: 4.45805
Epoch: 294 | Train loss: 4.15783 | Test loss: 4.13966
Epoch: 295 | Train loss: 4.16876 | Test loss: 4.08012
Epoch: 296 | Train loss: 4.23360 | Test loss: 4.03838
Epoch: 297 | Train loss: 4.13772 | Test loss: 3.99876
Epoch: 298 | Train loss: 4.16365 | Test loss: 4.01625
Epoch: 299 | Train loss: 4.18385 | Test loss: 4.03308
Epoch: 300 | Train loss: 4.17924 | Test loss: 4.00980
Epoch: 301 | Train loss: 4.18420 | Test loss: 4.14923
Epoch: 302 | Train loss: 4.15221 | Test loss: 4.20607
Epoch: 303 | Train loss: 4.14757 | Test loss: 4.00574
Epoch: 304 | Train loss: 4.13795 | Test loss: 4.50919
Epoch: 305 | Train loss: 4.13887 | Test loss: 3.96216
Epoch: 306 | Train loss: 4.11968 | Test loss: 4.37151
Epoch: 307 | Train loss: 4.16429 | Test loss: 3.96595
Epoch: 308 | Train loss: 4.15300 | Test loss: 3.99543
Epoch: 309 | Train loss: 4.10100 | Test loss: 4.13020
Epoch: 310 | Train loss: 4.11561 | Test loss: 3.97587
Epoch: 311 | Train loss: 4.15229 | Test loss: 3.98794
Epoch: 312 | Train loss: 4.11553 | Test loss: 3.97920
Epoch: 313 | Train loss: 4.10690 | Test loss: 4.12424
Epoch: 314 | Train loss: 4.08974 | Test loss: 4.21812
Epoch: 315 | Train loss: 4.09754 | Test loss: 4.03373
Epoch: 316 | Train loss: 4.09533 | Test loss: 4.24157
Epoch: 317 | Train loss: 4.09813 | Test loss: 4.14487
Epoch: 318 | Train loss: 4.08418 | Test loss: 4.11672
Epoch: 319 | Train loss: 4.08979 | Test loss: 4.19869
Epoch: 320 | Train loss: 4.09127 | Test loss: 3.97639
Epoch: 321 | Train loss: 4.07770 | Test loss: 4.08614
Epoch: 322 | Train loss: 4.06087 | Test loss: 3.93480
Epoch: 323 | Train loss: 4.08642 | Test loss: 3.97971
Epoch: 324 | Train loss: 4.04591 | Test loss: 4.49567
Epoch: 325 | Train loss: 4.07216 | Test loss: 4.05685
Epoch: 326 | Train loss: 4.04892 | Test loss: 4.05818
Epoch: 327 | Train loss: 4.10973 | Test loss: 4.02048
Epoch: 328 | Train loss: 4.04651 | Test loss: 3.93659
Epoch: 329 | Train loss: 4.03664 | Test loss: 4.01279
Epoch: 330 | Train loss: 4.06704 | Test loss: 4.12220
Epoch: 331 | Train loss: 4.04558 | Test loss: 4.02076
Epoch: 332 | Train loss: 4.04575 | Test loss: 3.98714
Epoch: 333 | Train loss: 4.04054 | Test loss: 4.37702
Epoch: 334 | Train loss: 4.04780 | Test loss: 4.03451
Epoch: 335 | Train loss: 4.02009 | Test loss: 3.90228
Epoch: 336 | Train loss: 4.03017 | Test loss: 3.97342
Epoch: 337 | Train loss: 4.01709 | Test loss: 3.89105
Epoch: 338 | Train loss: 4.02082 | Test loss: 4.09410
Epoch: 339 | Train loss: 4.02879 | Test loss: 4.06750
Epoch: 340 | Train loss: 4.01390 | Test loss: 4.02482
Epoch: 341 | Train loss: 4.01116 | Test loss: 4.08210
