Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch 109 | SR Loss: 5.92516 | Domain Loss: 0.61761 | Test Loss: 5.76375
Epoch 110 | SR Loss: 6.29087 | Domain Loss: 0.62078 | Test Loss: 4.77039
Epoch 111 | SR Loss: 5.81007 | Domain Loss: 0.61699 | Test Loss: 4.99142
Epoch 112 | SR Loss: 5.74733 | Domain Loss: 0.61509 | Test Loss: 4.70321
Epoch 113 | SR Loss: 5.88565 | Domain Loss: 0.61741 | Test Loss: 5.66493
Epoch 114 | SR Loss: 6.28791 | Domain Loss: 0.61890 | Test Loss: 4.93848
Epoch 115 | SR Loss: 5.69772 | Domain Loss: 0.61630 | Test Loss: 4.85614
Epoch 116 | SR Loss: 6.13644 | Domain Loss: 0.61149 | Test Loss: 4.96289
Epoch 117 | SR Loss: 5.75474 | Domain Loss: 0.61577 | Test Loss: 4.65511
Epoch 118 | SR Loss: 5.65924 | Domain Loss: 0.61632 | Test Loss: 8.97878
Epoch 119 | SR Loss: 5.84152 | Domain Loss: 0.61525 | Test Loss: 5.27920
Epoch 120 | SR Loss: 5.77496 | Domain Loss: 0.61419 | Test Loss: 4.85097
Epoch 121 | SR Loss: 5.87809 | Domain Loss: 0.61596 | Test Loss: 5.11545
Epoch 122 | SR Loss: 5.68566 | Domain Loss: 0.61172 | Test Loss: 4.65914
Epoch 123 | SR Loss: 5.70766 | Domain Loss: 0.61416 | Test Loss: 7.95506
Epoch 124 | SR Loss: 5.60604 | Domain Loss: 0.61350 | Test Loss: 5.92892
Epoch 125 | SR Loss: 5.80140 | Domain Loss: 0.61144 | Test Loss: 4.68040
Epoch 126 | SR Loss: 5.74160 | Domain Loss: 0.61124 | Test Loss: 5.01406
Epoch 127 | SR Loss: 5.64049 | Domain Loss: 0.61515 | Test Loss: 4.70681
Epoch 128 | SR Loss: 5.69053 | Domain Loss: 0.61111 | Test Loss: 6.76973
Epoch 129 | SR Loss: 5.66189 | Domain Loss: 0.60685 | Test Loss: 4.57566
Epoch 130 | SR Loss: 5.51874 | Domain Loss: 0.60764 | Test Loss: 4.72100
Epoch 131 | SR Loss: 5.86828 | Domain Loss: 0.61072 | Test Loss: 6.14054
Epoch 132 | SR Loss: 5.66993 | Domain Loss: 0.60953 | Test Loss: 8.97103
Epoch 133 | SR Loss: 5.58611 | Domain Loss: 0.60914 | Test Loss: 6.35193
Epoch 134 | SR Loss: 5.60472 | Domain Loss: 0.60925 | Test Loss: 6.71126
Epoch 135 | SR Loss: 5.52323 | Domain Loss: 0.60621 | Test Loss: 5.17302
Epoch 136 | SR Loss: 5.54285 | Domain Loss: 0.60464 | Test Loss: 6.02150
Epoch 137 | SR Loss: 5.48999 | Domain Loss: 0.60589 | Test Loss: 5.56367
Epoch 138 | SR Loss: 5.57011 | Domain Loss: 0.60664 | Test Loss: 4.44047
Epoch 139 | SR Loss: 5.66916 | Domain Loss: 0.60471 | Test Loss: 4.98985
Epoch 140 | SR Loss: 5.43659 | Domain Loss: 0.60734 | Test Loss: 4.64272
Epoch 141 | SR Loss: 5.27636 | Domain Loss: 0.60204 | Test Loss: 4.56670
Epoch 142 | SR Loss: 5.46936 | Domain Loss: 0.60108 | Test Loss: 5.50285
Epoch 143 | SR Loss: 5.43066 | Domain Loss: 0.60216 | Test Loss: 4.86753
Epoch 144 | SR Loss: 5.39759 | Domain Loss: 0.60005 | Test Loss: 4.58935
Epoch 145 | SR Loss: 5.41430 | Domain Loss: 0.59999 | Test Loss: 4.88155
Epoch 146 | SR Loss: 5.44380 | Domain Loss: 0.59807 | Test Loss: 5.58293
Epoch 147 | SR Loss: 5.34368 | Domain Loss: 0.60473 | Test Loss: 4.54759
Epoch 148 | SR Loss: 5.41667 | Domain Loss: 0.60023 | Test Loss: 4.56445
Epoch 149 | SR Loss: 5.39714 | Domain Loss: 0.59788 | Test Loss: 4.59479
Epoch 150 | SR Loss: 5.41373 | Domain Loss: 0.59908 | Test Loss: 4.41919
Epoch 151 | SR Loss: 5.49016 | Domain Loss: 0.59858 | Test Loss: 4.75504
Epoch 152 | SR Loss: 5.50554 | Domain Loss: 0.59223 | Test Loss: 4.62637
Epoch 153 | SR Loss: 5.25161 | Domain Loss: 0.59697 | Test Loss: 4.57415
Epoch 154 | SR Loss: 5.16718 | Domain Loss: 0.59603 | Test Loss: 5.49866
Epoch 155 | SR Loss: 5.39298 | Domain Loss: 0.59495 | Test Loss: 5.86139
Epoch 156 | SR Loss: 5.26248 | Domain Loss: 0.59228 | Test Loss: 4.77108
